shipment_id,customer_name,customer_surname,tracking_url,tracking_code,carrier_name,urgency,order_date,dispatch_date,arrival_date,cancel_date
1001,John,Smith,https://www.ups.com/track?tracknum=UPS-2166941B,UPS-2166941B,UPS,High,2022-04-06 0:00:00,2022-04-09 0:00:00,4/9/2022 0:00:00,
1002,Emma,Johnson,https://www.ups.com/track?tracknum=UPS-4823498Y,UPS-4823498Y,ups,Medium,2022-04-07 0:00:00,2022-04-10 0:00:00,,2022-04-17 0:00:00
1003,Michael,Brown,https://www.ups.com/track?tracknum=UPS-2338687H,UPS-2338687H,Ups,High,2022-04-08 0:00:00,2022-04-10 0:00:00,4/13/2022 0:00:00,
1004,Olivia,Davis,https://www.dhl.com/global-en/home/tracking.html?tracking-id=DHL-7377459I,DHL-7377459I,DHL,Low,2022-05-25 0:00:00,2022-05-28 0:00:00,5/30/2022 0:00:00,
1005,William,Miller,https://www.dhl.com/global-en/home/tracking.html?tracking-id=DHL-7120868F,DHL-7120868F,DHL,Low,2022-06-01 0:00:00,2022-06-05 0:00:00,6/8/2022 0:00:00,
1006,Sophia,Wilson,https://www.laposte.fr/outils/suivre-vos-envois?code=UPS%206960453G,UPS 6960453G,COLISSIMO,High,2022-05-31 0:00:00,2022-06-04 0:00:00,6/6/2022 0:00:00,
1007,James,Moore,https://www.ups.com/track?tracknum=UPS-5479144W,UPS-5479144W,ups,Low,2022-06-03 0:00:00,2022-06-04 0:00:00,6/6/2022 0:00:00,
1008,Isabella,Taylor,https://www.dhl.com/global-en/home/tracking.html?tracking-id=UPS%203871230R,UPS 3871230R,DHL,Medium,2022-06-03 0:00:00,2022-06-04 0:00:00,6/7/2022 0:00:00,
1009,Benjamin,Anderson,https://www.ups.com/track?tracknum=UPS-5107245F,UPS-5107245F,ups,High,2022-06-03 0:00:00,2022-06-04 0:00:00,6/7/2022 0:00:00,
1010,Mia,Thomas,https://www.ups.com/track?tracknum=UPS-7366205I,UPS-7366205I,Ups,Medium,2022-06-16 0:00:00,2022-06-17 0:00:00,6/19/2022 0:00:00,
1011,Lucas,Jackson,https://www.ups.com/track?tracknum=UPS-4684531V,UPS-4684531V,ups,High,2022-06-17 0:00:00,2022-06-19 0:00:00,6/19/2022 0:00:00,
1012,Charlotte,White,https://www.ups.com/track?tracknum=UPS-1938483H,UPS-1938483H,Ups,High,2022-06-23 0:00:00,2022-06-26 0:00:00,6/28/2022 0:00:00,
1013,Henry,Harris,https://www.dhl.com/global-en/home/tracking.html?tracking-id=DHL-6292423M,DHL-6292423M,DHL,High,2022-06-23 0:00:00,2022-06-27 0:00:00,6/29/2022 0:00:00,
1014,Amelia,Martin,https://www.dhl.com/global-en/home/tracking.html?tracking-id=DHL-2110460G,DHL-2110460G,dhl,Low,2022-06-22 0:00:00,2022-06-25 0:00:00,6/27/2022 0:00:00,
1015,Alexander,Thompson,https://www.laposte.fr/outils/suivre-vos-envois?code=Colissimo-4567281U,Colissimo-4567281U,COLISSIMO,High,2022-06-25 0:00:00,2022-06-25 0:00:00,,2022-07-04 0:00:00
1016,Harper,Garcia,https://www.laposte.fr/outils/suivre-vos-envois?code=Colissimo-7637601U,Colissimo-7637601U,COLISSIMO,High,2022-06-23 0:00:00,2022-06-25 0:00:00,6/29/2022 0:00:00,
1017,Daniel,Martinez,https://www.dhl.com/global-en/home/tracking.html?tracking-id=DHL-3396987I,DHL-3396987I,DHL,High,2022-07-14 0:00:00,2022-07-16 0:00:00,7/17/2022 0:00:00,
1018,Evelyn,Robinson,https://www.ups.com/track?tracknum=UPS-5137722X,UPS-5137722X,UPS,Medium,2022-07-15 0:00:00,2022-07-18 0:00:00,7/19/2022 0:00:00,
1019,Matthew,Clark,https://www.laposte.fr/outils/suivre-vos-envois?code=UPS%208187926S,UPS 8187926S,COLISSIMO,High,2022-07-16 0:00:00,2022-07-18 0:00:00,7/20/2022 0:00:00,
1020,Abigail,Rodriguez,https://www.dhl.com/global-en/home/tracking.html?tracking-id=DHL-7073292H,DHL-7073292H,DHL,High,2022-07-22 0:00:00,2022-07-24 0:00:00,,2022-08-08 0:00:00
1021,Joseph,Lewis,https://www.laposte.fr/outils/suivre-vos-envois?code=Colissimo-9548432P,Colissimo-9548432P,colissimo,Low,2022-07-22 0:00:00,2022-07-26 0:00:00,7/28/2022 0:00:00,
1022,Emily,Lee,https://www.ups.com/track?tracknum=UPS-1790481D,UPS-1790481D,UPS,High,2022-07-25 0:00:00,2022-07-26 0:00:00,7/29/2022 0:00:00,
1023,David,Walker,https://www.ups.com/track?tracknum=UPS-3684052Z,UPS-3684052Z,UPS,High,2022-07-25 0:00:00,2022-07-26 0:00:00,,
1024,Ella,Hall,https://www.laposte.fr/outils/suivre-vos-envois?code=UPS%202065818M,UPS 2065818M,colissimo,High,2022-08-05 0:00:00,2022-08-07 0:00:00,8/9/2022 0:00:00,
1025,Samuel,Allen,https://www.laposte.fr/outils/suivre-vos-envois?code=UPS%208852574Q,UPS 8852574Q,colissimo,Medium,2022-08-05 0:00:00,2022-08-07 0:00:00,8/13/2022 0:00:00,
1026,Avery,Young,https://www.ups.com/track?tracknum=UPS-1192619V,UPS-1192619V,Ups,High,2022-08-05 0:00:00,2022-08-07 0:00:00,8/7/2022 0:00:00,
1027,Sebastian,King,https://www.ups.com/track?tracknum=UPS-2921859V,UPS-2921859V,ups,High,2022-08-05 0:00:00,2022-08-07 0:00:00,8/9/2022 0:00:00,
1028,Scarlett,Wright,https://www.ups.com/track?tracknum=UPS-5476583Y,UPS-5476583Y,ups,High,2022-08-05 0:00:00,2022-08-07 0:00:00,8/9/2022 0:00:00,
1029,Jack,Scott,https://www.ups.com/track?tracknum=UPS-6707197D,UPS-6707197D,ups,Low,2022-08-05 0:00:00,2022-08-06 0:00:00,8/8/2022 0:00:00,
1030,Grace,Green,https://www.laposte.fr/outils/suivre-vos-envois?code=Colissimo-8294150F,Colissimo-8294150F,COLISSIMO,High,2022-08-05 0:00:00,2022-08-07 0:00:00,8/8/2022 0:00:00,
1031,Owen,Baker,https://www.laposte.fr/outils/suivre-vos-envois?code=Colissimo-1054447X,Colissimo-1054447X,COLISSIMO,Medium,2022-08-06 0:00:00,2022-08-08 0:00:00,8/9/2022 0:00:00,
1032,Chloe,Adams,https://www.laposte.fr/outils/suivre-vos-envois?code=Colissimo-9398441Y,Colissimo-9398441Y,COLISSIMO,High,2022-08-26 0:00:00,2022-08-28 0:00:00,8/30/2022 0:00:00,
1033,Gabriel,Nelson,https://www.laposte.fr/outils/suivre-vos-envois?code=Colissimo-9517485D,Colissimo-9517485D,colissimo,Medium,2022-08-25 0:00:00,2022-08-28 0:00:00,8/29/2022 0:00:00,
1034,Victoria,Hill,https://www.dhl.com/global-en/home/tracking.html?tracking-id=DHL-9517169T,DHL-9517169T,dhl,High,2022-08-26 0:00:00,2022-08-28 0:00:00,8/30/2022 0:00:00,
1035,Carter,Ramirez,https://www.laposte.fr/outils/suivre-vos-envois?code=UPS%203564217L,UPS 3564217L,colissimo,High,2022-08-29 0:00:00,2022-08-31 0:00:00,9/2/2022 0:00:00,
1036,Lily,Campbell,https://www.laposte.fr/outils/suivre-vos-envois?code=UPS%209897858A,UPS 9897858A,colissimo,Low,2022-08-29 0:00:00,2022-08-31 0:00:00,9/2/2022 0:00:00,
1037,Jayden,Mitchell,https://www.dhl.com/global-en/home/tracking.html?tracking-id=UPS%206438436P,UPS 6438436P,DHL,High,2022-08-30 0:00:00,2022-09-01 0:00:00,9/3/2022 0:00:00,
1038,Hannah,Roberts,https://www.ups.com/track?tracknum=UPS-2876828L,UPS-2876828L,UPS,High,2022-08-31 0:00:00,2022-09-04 0:00:00,9/4/2022 0:00:00,
1039,Luke,Carter,https://www.laposte.fr/outils/suivre-vos-envois?code=Colissimo-5017343B,Colissimo-5017343B,COLISSIMO,Medium,2022-09-07 0:00:00,2022-09-10 0:00:00,,
1040,Zoe,Phillips,https://www.dhl.com/global-en/home/tracking.html?tracking-id=UPS%202321324C,UPS 2321324C,Dhl,High,2022-09-09 0:00:00,2022-09-10 0:00:00,,
1041,Anthony,Evans,https://www.laposte.fr/outils/suivre-vos-envois?code=UPS%202161193Y,UPS 2161193Y,colissimo,High,2022-09-09 0:00:00,2022-09-10 0:00:00,,
1042,Nora,Turner,https://www.dhl.com/global-en/home/tracking.html?tracking-id=DHL-3109911E,DHL-3109911E,DHL,Medium,2022-09-09 0:00:00,2022-09-11 0:00:00,,
1043,Isaac,Torres,https://www.dhl.com/global-en/home/tracking.html?tracking-id=DHL-3770370I,DHL-3770370I,DHL,High,2022-09-09 0:00:00,2022-09-12 0:00:00,,
